"Accession","Latitude","Longitude","Elevation","sample"
"LA0130",-17.2,-70.96667,250,"no"
"LA0294",-18,-70.23333,562,"no"
"LA0456",-17.25,-71.2,200,"yes"
"LA0458",-17.96667,-70.18333,800,"yes"
"LA0460",-17.8,-70.01667,2500,"no"
"LA0470",-25.43333,-70.45,1200,"no"
"LA0471",-17.83333,-70.50833,400,"no"
"LA0474",-17.18333,-71.01667,300,"no"
"LA0869",-15.73333,-73.88333,1000,"no"
"LA1029",-17.16667,-70.9,1600,"no"
"LA1030",-17.75833,-70.17417,1700,"no"
"LA1782",-15.36667,-74.625,"NA","no"
"LA1917",-14.26667,-74.91667,2600,"no"
"LA1930",-15.29167,-74.6,500,"yes"
"LA1931",-15.30028,-74.57833,1500,"no"
"LA1932",-15.41667,-74.7,1100,"no"
"LA1934",-15.45,-74.41667,240,"no"
"LA1938",-15.68333,-73.83333,1400,"no"
"LA1939",-16.11667,-73.63333,400,"no"
"LA1958",-17.25,-71.25,1250,"yes"
"LA1959",-17.18583,-71.0175,1280,"no"
"LA1960",-17.08333,-70.86667,1850,"no"
"LA1961",-17.23333,-70.61667,3200,"no"
"LA1962",-17.95,-70.31667,750,"no"
"LA1963",-18.06667,-70.31667,200,"yes"
"LA1965",-17.76667,-69.93889,2950,"no"
"LA1967",-17.89722,-70.15528,1000,"no"
"LA1968",-17.76167,-70.17639,1680,"yes"
"LA1969",-17.55278,-70.02833,3250,"no"
"LA1970",-17.46528,-70.0425,2960,"no"
"LA1971",-17.58806,-70.03806,3075,"no"
"LA1972",-17.83861,-70.52611,650,"no"
"LA2404",-18.43333,-69.76667,2600,"no"
"LA2405",-18.58333,-69.5,3200,"no"
"LA2406",-18.45,-69.78333,2400,"no"
"LA2729",-19.38333,-69.55,1700,"no"
"LA2731",-19.35,-69.51667,1750,"no"
"LA2735",-19.30833,-69.425,2400,"no"
"LA2737",-19.25,-69.41667,2400,"no"
"LA2738",-19.25,-69.41667,2750,"no"
"LA2739",-19.25,-69.41667,3000,"no"
"LA2740",-19.25,-69.41667,3000,"no"
"LA2743",-18.57583,-70.05944,320,"no"
"LA2746",-18.58333,-69.93333,600,"no"
"LA2747",-18.58333,-69.9,800,"yes"
"LA2748",-21.21333,-69.54778,800,"yes"
"LA2749",-22.16917,-70.21222,400,"no"
"LA2750",-22.07028,-70.16306,300,"yes"
"LA2751",-19.86444,-69.43,1500,"no"
"LA2752",-19.86417,-69.38056,1800,"no"
"LA2753",-19.85639,-69.33722,1650,"yes"
"LA2754",-19.77472,-69.28222,2750,"no"
"LA2755",-19.68417,-69.18111,3200,"yes"
"LA2757",-19.7675,-69.27444,2850,"no"
"LA2758",-20.07611,-69.37722,1750,"no"
"LA2759",-20.06667,-69.22139,2700,"no"
"LA2760",-20.07417,-69.18583,2700,"no"
"LA2761",-20.12667,-69.19556,2500,"no"
"LA2762",-20.05,-69.21667,2500,"no"
"LA2763",-20.02056,-69.20444,2400,"no"
"LA2764",-18.83333,-69.75,2000,"no"
"LA2765",-18.76667,-69.68333,2400,"yes"
"LA2767",-18.81667,-69.68333,2200,"no"
"LA2768",-18.85,-69.7,2000,"no"
"LA2771",-18.47583,-69.8625,1800,"no"
"LA2773",-18.36667,-69.63333,3400,"yes"
"LA2774",-18.25,-69.6,3100,"no"
"LA2775",-18.23333,-69.56667,3300,"no"
"LA2778",-18.38333,-69.55,2900,"no"
"LA2779",-18.46667,-69.51667,3100,"no"
"LA2780",-18.49611,-69.51694,3200,"no"
"LA2879",-23.68528,-68.06139,2500,"no"
"LA2880",-23.81667,-68.21667,2500,"yes"
"LA2881",-23.57722,-67.93361,2700,"no"
"LA2882",-23.4,-67.95,2500,"no"
"LA2883",-22.27917,-68.24278,3100,"no"
"LA2884",-22.24778,-68.36083,2900,"no"
"LA2886",-25.3225,-70.44694,100,"no"
"LA2887",-25.24083,-70.43472,50,"no"
"LA2888",-25.01667,-70.45,450,"no"
"LA2889",-24.88806,-70.52056,100,"no"
"LA2891",-25.4875,-70.42389,500,"no"
"LA2930",-25.5,-70.41667,550,"no"
"LA2931",-20.91667,-69.06667,2275,"yes"
"LA2932",-22.46806,-70.225,350,"yes"
"LA2943",-18.18333,-69.58333,2800,"no"
"LA2945",-20.81667,-69.05,2400,"no"
"LA2946",-20.91667,-69.05,2400,"no"
"LA2947",-20.91667,-69.05,2300,"no"
"LA2949",-19.68333,-69.18333,3350,"no"
"LA2950",-19.86667,-69.43333,1600,"no"
"LA2952",-19.33333,-69.5,2420,"no"
"LA2953",-19.3,-69.43333,2350,"no"
"LA2955",-19.31667,-69.45,2100,"no"
"LA2957",-19.35,-69.51667,1850,"no"
"LA2965",-17.85,-70.05833,1200,"no"
"LA2980",-17.09833,-70.86028,2200,"no"
"LA2981A",-17.05,-70.83972,3000,"no"
"LA3111",-17.46667,-70.03333,3070,"yes"
"LA3112",-17.53333,-70.03333,3200,"no"
"LA3113",-17.5625,-70.02972,3500,"no"
"LA3114",-17.67639,-70.08444,2690,"no"
"LA3115",-17.80528,-70.22111,1100,"no"
"LA3116",-18.10167,-70.33889,100,"no"
"LA3153",-17.07167,-70.84944,2000,"no"
"LA3155",-16.74444,-70.87778,1800,"no"
"LA3355",-18.05,-70.3,500,"no"
"LA3356",-18.01667,-70.26667,500,"no"
"LA3357",-18.05,-70.33333,"NA","no"
"LA3358",-18.06667,-70.21667,"NA","no"
"LA3780",-16.25139,-73.52611,200,"no"
"LA3784",-15.73111,-73.85056,1100,"yes"
"LA3785",-15.61583,-73.80111,1720,"no"
"LA3786",-15.57361,-73.74167,2080,"no"
"LA4106",-25.48139,-70.43278,446,"no"
"LA4107",-25.31889,-70.44611,86,"yes"
"LA4108",-25.0525,-70.47583,80,"yes"
"LA4109",-24.91417,-70.51611,75,"no"
"LA4117A",-22.9075,-67.94083,3540,"no"
"LA4117B",-22.9075,-67.94083,2730,"no"
"LA4118",-23.1575,-68.035,2440,"yes"
"LA4119",-23.55389,-67.93389,2980,"yes"
"LA4120",-20.79528,-69.04111,3240,"no"
"LA4121",-19.87889,-69.28,2710,"no"
"LA4122",-19.5425,-69.20194,3300,"no"
"LA4124",-19.30611,-69.42056,2510,"no"
"LA4127",-18.8725,-69.67333,2370,"no"
"LA4129",-18.90806,-69.60417,2530,"no"
"LA4132",-18.92583,-69.55056,2230,"no"
"LA4319",-18.31861,-69.81639,1440,"no"
"LA4321",-18.47917,-69.75944,1822,"no"
"LA4324",-18.21806,-69.77417,3530,"no"
"LA4327",-18.935,-69.65472,1944,"no"
"LA4329",-22.30889,-68.48056,2657,"no"
"LA4330",-22.35083,-68.31972,3126,"no"
"LA4332",-22.60889,-68.52194,2968,"yes"
"LA4333",-23.29611,-67.94139,2914,"no"
"LA4334",-23.63,-68.04444,2435,"no"
"LA4335",-23.80361,-68.27528,2495,"no"
"LA4336",-25.26917,-70.43722,54,"no"
"LA4337",-25.02694,-70.46222,300,"no"
"LA4338",-25.50222,-70.41139,568,"no"
"LA4339",-25.5375,-70.47222,514,"no"
